precision,recall,f1,hashcode
0.895980716,0.852469683,0.87368381,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.874100685,0.883596599,0.878822982,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.881102562,0.878893614,0.879996717,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.875039935,0.866396785,0.870696902,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.877535105,0.884056091,0.880783558,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.872593522,0.882669985,0.877602816,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.857018828,0.882434309,0.86954093,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.877141476,0.876959085,0.877050281,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.875957012,0.88727653,0.881580412,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.862334967,0.876429439,0.869325101,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.884390593,0.868067324,0.876152933,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.859334707,0.849150062,0.854212046,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.899762511,0.873954535,0.886670768,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.854311287,0.873872399,0.863981128,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.878391743,0.897289872,0.887740254,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.93182528,0.932368279,0.93209672,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.895650089,0.911811829,0.903658688,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.889140368,0.899737954,0.894407749,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.878552556,0.894605935,0.886506557,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.880819917,0.899953425,0.890283823,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.941648841,0.926883221,0.934207678,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.997734129,0.991950631,0.994833946,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
